vm,comparison_vm,num_cands,num_voters,num_profiles,probmod,perc_diff_ws,perc_ssw_violation,perc_ssw_violation_cond_diff_ws
Beat Path,Split Cycle,4,"(10, 11)",2000000,IC,0.005028,0.005024,0.9992044550517100
Beat Path,Split Cycle,4,"(20, 21)",2000000,IC,0.00856,0.00844,0.985981308411215
Beat Path,Split Cycle,4,"(50, 51)",2000000,IC,0.010708,0.010272,0.9592827792304820
Beat Path,Split Cycle,4,"(100, 101)",2000000,IC,0.010808,0.01014,0.9381939304219100
Beat Path,Split Cycle,4,"(500, 501)",2000000,IC,0.01212,0.011092,0.9151815181518150
Beat Path,Split Cycle,4,"(1000, 1001)",2000000,IC,0.012024,0.01082,0.8998669328010650
Beat Path,Split Cycle,4,"(5000, 5001)",2000000,IC,0.012372,0.010936,0.8839314581312640
Beat Path,Split Cycle,4,"(10, 11)",2000000,IAC,0.005289,0.0052715,0.9966912459822270
Beat Path,Split Cycle,4,"(20, 21)",2000000,IAC,0.008381,0.00815,0.9724376566042240
Beat Path,Split Cycle,4,"(50, 51)",2000000,IAC,0.009894,0.0092225,0.9321305841924400
Beat Path,Split Cycle,4,"(100, 101)",2000000,IAC,0.0104675,0.0096,0.9171244327680920
Beat Path,Split Cycle,4,"(500, 501)",2000000,IAC,0.0106435,0.009612,0.9030863907549210
Beat Path,Split Cycle,4,"(1000, 1001)",2000000,IAC,0.010721,0.009602,0.8956254080776050
Beat Path,Split Cycle,4,"(5000, 5001)",2000000,IAC,0.010693,0.0095815,0.8960534929393060
Beat Path,Split Cycle,4,"(10, 11)",2000000,MALLOWS-RELPHI-R,0.0011795,0.0011775,0.9983043662568890
Beat Path,Split Cycle,4,"(20, 21)",2000000,MALLOWS-RELPHI-R,0.001318,0.001297,0.9840667678300460
Beat Path,Split Cycle,4,"(50, 51)",2000000,MALLOWS-RELPHI-R,0.001129,0.0010825,0.9588131089459700
Beat Path,Split Cycle,4,"(100, 101)",2000000,MALLOWS-RELPHI-R,0.0007645,0.00071,0.9287115761935910
Beat Path,Split Cycle,4,"(500, 501)",2000000,MALLOWS-RELPHI-R,0.0004055,0.000377,0.9297163995067820
Beat Path,Split Cycle,4,"(1000, 1001)",2000000,MALLOWS-RELPHI-R,0.000245,0.000225,0.9183673469387760
Beat Path,Split Cycle,4,"(5000, 5001)",2000000,MALLOWS-RELPHI-R,0.0001285,0.0001165,0.9066147859922180
Beat Path,Split Cycle,4,"(10, 11)",2000000,URN-R,0.0022095,0.0021925,0.992305951572754
Beat Path,Split Cycle,4,"(20, 21)",2000000,URN-R,0.0034115,0.0032965,0.9662904880551080
Beat Path,Split Cycle,4,"(50, 51)",2000000,URN-R,0.004023,0.0037325,0.9277902063136960
Beat Path,Split Cycle,4,"(100, 101)",2000000,URN-R,0.0041695,0.0038135,0.9146180597193910
Beat Path,Split Cycle,4,"(500, 501)",2000000,URN-R,0.0042855,0.0038585,0.9003616847509040
Beat Path,Split Cycle,4,"(1000, 1001)",2000000,URN-R,0.004301,0.003853,0.8958381771681000
Beat Path,Split Cycle,4,"(5000, 5001)",2000000,URN-R,0.0043785,0.003917,0.8945986068288230